Paper_Title,Authors,Year,Venue,Published_Link,Quartile,Brief_Summary,Problem_Solved,Methodology_Short,Type,Original_Link
Leveraging Large Language Models to Improve REST API Testing (RESTGPT),"Myeongsoo Kim, Tyler Stennett, Dhruv Shah, Saurabh Sinha, Alessandro Orso",2024,IEEE/ACM ICSE-NIER 2024,https://arxiv.org/abs/2312.00894,Q1 [estimated],"RESTGPT extracts machine-interpretable rules and example values from NL in an API spec, augmenting the OpenAPI spec to drive more effective REST API testing.",Informal/insufficient API documentation limits automated REST API test quality.,LLM rule/value extraction that enriches OpenAPI specs for downstream testing tools.,tool,https://arxiv.org/html/2312.00894v2
Automated REST API Documentation and Testing via LLM-Assisted Request Mutations (RESTSpecIT),"Alix Decrop, Gilles Perrouin, Mike Papadakis, et al. [estimated]",2024,arXiv preprint,https://arxiv.org/abs/2402.05102,Q3 [estimated],"RESTSpecIT infers REST API documentation and performs black-box testing using LLM-assisted request mutations, without a full OpenAPI spec.",REST API testing requires specs that are often missing or informal.,LLM-guided request mutation to infer specs and black-box test REST APIs.,tool,https://arxiv.org/html/2402.05102v1
Effective REST API Testing with Small Language Models (LlamaRestTest),"Myeongsoo Kim, Saurabh Sinha, Alessandro Orso [estimated]",2025,arXiv preprint,https://arxiv.org/abs/2501.08598,Q3 [estimated],"LlamaRestTest fine-tunes small language models for REST API testing, matching/exceeding RESTGPT and tools like RESTler, EvoMaster, and ARAT-RL on real services.",Large-model cost/latency for REST API testing; can small models suffice?,Fine-tuned small LMs evaluated on 12 real services vs SOTA REST testers.,empirical,https://arxiv.org/html/2501.08598v2
Can Language Models Resolve Real-World GitHub Issues? (SWE-bench),"Carlos E. Jimenez, John Yang, Alexander Wettig, Shunyu Yao, et al.",2024,ICLR 2024,https://arxiv.org/abs/2310.06770,Q1 [estimated],"SWE-bench evaluates whether LLMs can resolve real GitHub issues, requiring patches validated by the repository's own test suites; frontier models solve only the simplest issues.","No realistic benchmark for autonomous, test-validated software issue resolution.","Benchmark of 2,294 real issues with execution-based (unit-test) validation of patches.",empirical,https://arxiv.org/abs/2310.06770
WebPilot / Epic-Organized vs. Requirement-Aligned Gherkin: An Empirical Evaluation of LLM-Based Acceptance Criteria Generation,Authors [estimated],2026,arXiv preprint,https://arxiv.org/abs/2607.01980,Q3 [estimated],Evaluates whether epic-organized LLM-generated Gherkin acceptance criteria beat requirement-aligned generation on quality and coverage.,Manual authoring of Gherkin BDD acceptance criteria is a requirements-engineering bottleneck.,Empirical comparison of two LLM Gherkin-generation strategies for coverage/quality.,empirical,https://arxiv.org/pdf/2607.01980v1
Generating BDD Acceptance Tests using Large Language Models: An Empirical Study,Authors [estimated],2024,arXiv preprint,https://arxiv.org/abs/2403.14965,Q3 [estimated],"Shows GPT-3.5/GPT-4 can generate largely error-free BDD acceptance tests, with few-shot prompting improving accuracy and reducing syntax errors.",Automating BDD acceptance-test authoring from requirements with correct Gherkin syntax.,Empirical study of prompting strategies for BDD test generation with syntax/validation analysis.,empirical,https://arxiv.org/pdf/2403.14965
Retrieval-Augmented Generation for Software Testing and Inspection Automation,Authors [estimated],2026,arXiv preprint,https://arxiv.org/abs/2604.15270,Q3 [estimated],Applies a RAG pipeline to reduce hallucination in LLM-driven software testing and inspection by injecting supplementary knowledge sources.,LLM hallucination undermines reliability of automated testing/inspection outputs.,RAG-augmented LLM framework for testing and inspection tasks.,tool,https://arxiv.org/html/2604.15270v1
"Execution-aware, Feedback-driven Regression Testing Generation with Large Language Models",Authors [estimated],2025,arXiv preprint,https://arxiv.org/abs/2508.01255,Q3 [estimated],Addresses the coverage plateau in LLM regression-test generation by making the LLM execution-aware and feedback-driven about program execution.,LLM regression tests stagnate in coverage due to weak reasoning about execution.,Execution-feedback loop that informs the LLM to break through coverage plateaus.,tool,https://arxiv.org/abs/2508.01255v1
Efficient LLM-driven Test Generation Using Mutant Prioritization (PRIMG),Authors [estimated],2025,arXiv preprint,https://arxiv.org/abs/2505.05584,Q3 [estimated],"PRIMG prioritizes mutants to guide LLM test generation, reducing test-suite size while maintaining high mutation coverage and outperforming random mutant selection.","Generating high-impact tests without exhaustive, costly mutation-driven generation.","Mutant-prioritization module feeding an LLM test generator, evaluated on mutation coverage.",tool,https://arxiv.org/html/2505.05584v1
TraceLLM: Leveraging Large Language Models with Prompt Engineering for Enhanced Requirements Traceability,Authors [estimated],2026,arXiv preprint,https://arxiv.org/abs/2602.01253,Q3 [estimated],TraceLLM uses LLMs with prompt engineering to establish and maintain trace links between requirements and downstream artifacts including tests.,Maintaining requirements-to-artifact traceability (incl. tests) is costly and error-prone.,Prompt-engineered LLM approach for generating/maintaining requirement trace links.,tool,https://arxiv.org/html/2602.01253v1/
On the Diffusion of Test Smells in LLM-Generated Unit Tests,Authors [estimated],2024,arXiv preprint,https://arxiv.org/abs/2410.10628,Q3 [estimated],Contrasts LLM-generated tests with human suites and EvoSuite to determine whether LLMs reproduce human-like test smells or synthetic artifacts.,Understanding maintainability/quality problems (test smells) in LLM-generated tests.,Empirical comparison of LLM vs human vs SBST tests for test-smell diffusion.,empirical,https://arxiv.org/html/2410.10628v2
LLM-based Low-Level Integration Test Generation for Java (IntTestGen),Authors [estimated],2026,arXiv preprint,https://arxiv.org/abs/2605.26851,Q3 [estimated],"IntTestGen generates low-level integration tests for Java, improving line/branch coverage and mutation score and covering additional dependency code.",Integration testing (beyond isolated units) is under-served by LLM test generators.,LLM-based integration-test generation evaluated on coverage and mutation across two benchmarks.,tool,https://arxiv.org/abs/2605.26851v2
Test vs Mutant: Adversarial LLM Agents for Robust Unit Test Generation,Authors [estimated],2026,arXiv preprint,https://arxiv.org/abs/2602.08146,Q3 [estimated],"Uses adversarial LLM agents (test-writer vs mutant-maker) to drive robust, high-coverage, compilable unit tests.",LLM tests are readable but often low-coverage and non-compilable.,Adversarial multi-agent test-vs-mutant loop for robust unit test generation.,tool,https://arxiv.org/pdf/2602.08146v1
Enhancing Test Suite Robustness via LLM-Based Generation and Genetic Optimization (EvoGPT),Authors [estimated],2025,arXiv preprint,https://arxiv.org/abs/2505.12424,Q3 [estimated],"EvoGPT hybridizes LLM test generation with evolutionary search to produce diverse, bug-revealing unit tests.",LLM-only generation lacks diversity and bug-revealing power of search-based methods.,Hybrid LLM + genetic-algorithm framework for unit test generation.,tool,https://arxiv.org/html/2505.12424v1
A System for Automated Unit Test Generation Using Large Language Models and Assessment of Generated Test Suites,"Andrea Lops, Fedelucio Narducci, et al. [estimated]",2024,arXiv preprint,https://arxiv.org/abs/2408.07846,Q3 [estimated],Builds a scalable system and a Methods2Test-derived dataset to compare LLM-generated tests with human-written tests and assess quality.,Need for scalable systems and datasets to fairly assess LLM test-suite quality.,Automated generation system + new dataset + evaluation methodology.,tool,https://arxiv.org/html/2408.07846v2
Exploratory Study on Private GPTs for LLM-Driven Test Generation in Software and Machine Learning Development,Authors [estimated],2025,arXiv preprint,https://arxiv.org/abs/2506.06509,Q3 [estimated],Uses acceptance criteria from epics/stories with private GPTs to produce testable criteria and tests in software and ML development settings.,Turning story/epic acceptance criteria directly into testable artifacts with private LLMs.,Exploratory study of private-GPT-driven test generation from acceptance criteria.,empirical,https://arxiv.org/html/2506.06509v2
A Systematic Literature Review on Large Language Models for Automated Program Repair,"Quanjun Zhang, Chunrong Fang, Yang Xie, et al.",2024,arXiv preprint (SLR),https://arxiv.org/abs/2405.01466,Q3 [estimated],"PRISMA-style SLR of LLM-based automated program repair, including the tight coupling between test-based validation and repair.",Fragmented understanding of LLM-based APR techniques and their test-driven validation.,Systematic literature review of LLM-for-APR studies and methods.,review,https://arxiv.org/html/2405.01466v4
Enhancing Conversation-Based Automated Program Repair via Contrastive Test Case Pairs,Authors [estimated],2024,arXiv preprint,https://arxiv.org/abs/2403.01971,Q3 [estimated],Improves conversational LLM program repair using contrastive test-case pairs to better localize and validate fixes.,Conversational APR needs stronger test-driven feedback signals to converge.,Contrastive test-case-pair feedback within a conversational APR loop.,tool,https://arxiv.org/html/2403.01971v1
Correct and Strong REST API Testing with Verified LLM-Inferred Dependencies and Response-Driven Refinement,Authors [estimated],2026,arXiv preprint,https://arxiv.org/abs/2608.17546,Q3 [estimated],"Validates LLM-inferred REST operation dependencies via execution and refines test sequences from responses, avoiding spurious/infeasible tests.","LLM-inferred API dependencies are often unvalidated, yielding infeasible test sequences.",Execution-verified dependency inference plus response-driven test-sequence refinement.,tool,https://arxiv.org/html/2608.17546v2
LLM-as-a-Judge for Scalable Test Coverage Evaluation,Authors [estimated],2025,arXiv preprint,https://arxiv.org/abs/2512.01232,Q3 [estimated],LLM-as-a-Judge (LAJ) is a rubric-driven framework producing structured JSON verdicts to evaluate Gherkin acceptance-test coverage at scale.,Assessing acceptance-test coverage quality at scale is a QA bottleneck.,Rubric-driven LLM judging framework with structured JSON outputs for coverage evaluation.,tool,https://arxiv.org/html/2512.01232v1
Semantic-Aware Gray-Box Game Regression Testing with Large Language Models (SAGE),Authors [estimated],2025,arXiv preprint,https://arxiv.org/abs/2512.00560,Q3 [estimated],"SAGE uses LLM semantic analysis of update logs to prioritize regression tests most relevant to version changes, evaluated on Overcooked Plus and Minecraft.",Regression testing must adapt test selection efficiently as software/game versions change.,LLM-based semantic change analysis for test prioritization in gray-box game testing.,tool,https://arxiv.org/html/2512.00560
WebTestPilot: Agentic End-to-End Web Testing against Natural Language Specification by Inferring Oracles with Symbolized GUI Elements,"Xiwen Teoh, Yun Lin, Duc-Minh Nguyen, Ruofei Ren, Wenjie Zhang, Jin Song Dong",2026,FSE 2026,https://arxiv.org/abs/2602.11724,Q1 [estimated],"Neurosymbolic LLM agent for E2E web testing vs NL spec: symbolizes GUI elements into variables and infers pre/post-condition oracles capturing data/temporal/causal deps; 99% task completion, 96% precision/recall.",Implicit oracle inference + hallucination-vs-real-bug in autonomous web test execution.,Symbolization layer + NL-to-steps with inferred pre/post-condition oracles; bug-injected benchmark.,tool,https://arxiv.org/html/2602.11724v2
Compiling Large Multi-Modal Requirement Documents into Runnable Software Systems: From an Agentic Test-Driven Perspective,"Weiyu [et al.], Xiwen Teoh, Duc-Minh Nguyen, Ruofei Ren, Jiaxin, Haoxu, Haoyu, Yun Lin [estimated]",2026,ISSTA 2026,https://arxiv.org/abs/2602.13723,Q1 [estimated],Agentic test-driven compilation of large multi-modal requirement documents into runnable systems; tackles requirement scaling and omitted constraints.,LLM performance degrades on multi-modal docs with hundreds of scenarios.,"Agentic, test-driven decomposition of large requirement documents.",tool,https://arxiv.org/pdf/2602.13723
Generating Project-Specific Test Cases with Requirement Validation Intention,"Binhang Qi, Xinyi, Yuhuan, Chenyan [et al.], Yun Lin [estimated]",2026,ISSTA 2026,https://conf.researchr.org/track/issta-2026/issta-2026-research-papers,Q1 [estimated],Generates project-specific test cases guided by requirement validation intention.,Aligning generated tests with the validation intent behind requirements.,Requirement-validation-intention-driven test generation.,tool,http://www.linyun.info/
Generalizing Test Cases for Comprehensive Test Scenario Coverage (TestGeneralizer),"Binhang Qi, Xinyi, Chenyan [et al.], Yun Lin [estimated]",2026,FSE 2026,https://arxiv.org/abs/2604.21771,Q1 [estimated],"TestGeneralizer: understand requirement/scenario, build scenario templates and instances, then generate/refine executable tests for broad scenario coverage.",Insufficient test-scenario coverage from focal-method-only tests.,Three-stage scenario-template generation and executable test synthesis.,tool,https://arxiv.org/pdf/2604.21771.pdf
Design-to-Action Agents for GUI Testing,"Ruofan Liu, Xiwen Teoh, Guanjie, Ruofei Ren, Yun Lin [estimated]",2025,ISSTA 2025,https://conf.researchr.org/home/issta-2025,Q1 [estimated],Agentic GUI testing mapping design intent to concrete UI actions.,Bridging design intent and executable GUI actions for testing.,Design-to-action agent architecture for GUI testing.,tool,http://www.linyun.info/
